CIESINCODE_GPW,ISOCODE_GPW,Location_GPW,location_id_GBD,ISOCODE_GBD,Location_GBD,GBD_GPW,location_name_GBD,cause_id_GBD,cause_name_GBD,num_val,num_upper,num_lower,pop_25plus_GBD,rate_country_25plus_val,rate_country_25plus_val_upper,rate_country_25plus_val_lower
4,AFG,Afghanistan,160,AFG,Afghanistan,Y,Afghanistan,409,Non-communicable diseases,90285.42888800001,102168.17676300001,79495.99251899999,9483107.991136929,952.0658097786326,1077.3701708183444,838.2904907684091
8,ALB,Albania,43,ALB,Albania,Y,Albania,409,Non-communicable diseases,18945.57757034,21869.317811,16323.126698930002,1784176.817079461,1061.8665924239633,1225.7371355602597,914.88279315553
12,DZA,Algeria,139,DZA,Algeria,Y,Algeria,409,Non-communicable diseases,123921.22719800001,128333.22993199999,118901.36173120001,21727276.79201871,570.3486377249135,590.6549226598976,547.2446587272142
16,ASM,American Samoa,298,ASM,American Samoa,Y,American Samoa,409,Non-communicable diseases,257.457889763,277.66574790799996,236.090288418,26535.112155653555,970.25363319652,1046.408797065667,889.7278708795612
20,AND,Andorra,74,AND,Andorra,Y,Andorra,409,Non-communicable diseases,469.086398497,511.30234046400005,427.182893737,58398.97346214688,803.244253601569,875.533096134672,731.4904156900839
24,AGO,Angola,168,AGO,Angola,Y,Angola,409,Non-communicable diseases,49456.8371241,56486.700068,42583.1870115,9066375.41313477,545.4973445336288,623.0350883790426,469.68259167614286
28,ATG,Antigua and Barbuda,105,ATG,Antigua and Barbuda,Y,Antigua and Barbuda,409,Non-communicable diseases,446.12236469699997,467.13038950399994,421.99985029600003,55206.6099837505,808.0959233474243,846.1493825494719,764.400948401308
32,ARG,Argentina,97,ARG,Argentina,Y,Argentina,409,Non-communicable diseases,256717.75195200002,260073.72268200002,253253.69935429998,25625737.406058732,1001.7965449505615,1014.8926392280536,988.2786799119499
51,ARM,Armenia,33,ARM,Armenia,Y,Armenia,409,Non-communicable diseases,25498.34697523,25768.70291838,25227.93575795,2021279.0890744142,1261.495610035041,1274.8710980916558,1248.1173873669468
36,AUS,Australia,71,AUS,Australia,Y,Australia,409,Non-communicable diseases,143743.4843091,144924.942829,142606.6735234,15840093.370407825,907.4661427036722,914.924801515035,900.2893492396654
40,AUT,Austria,75,AUT,Austria,Y,Austria,409,Non-communicable diseases,74541.1847246,75346.84280370001,73712.2838037,6403922.750233362,1163.9925656798978,1176.573262083062,1151.0489223345783
31,AZE,Azerbaijan,34,AZE,Azerbaijan,Y,Azerbaijan,409,Non-communicable diseases,59408.464407199994,61680.1911043,57138.9019404,5955914.563902829,997.4700571975708,1035.612422618128,959.364029274417
48,BHR,Bahrain,140,BHR,Bahrain,Y,Bahrain,409,Non-communicable diseases,2383.6253920599997,2536.8359429700004,2236.30168009,992310.4209377564,240.20965030352278,255.64943080741122,225.36311550337675
50,BGD,Bangladesh,161,BGD,Bangladesh,Y,Bangladesh,409,Non-communicable diseases,572526.346625,618798.122885,527147.3683819999,77145349.0631529,742.1398095643034,802.1198042391877,683.31710826853
52,BRB,Barbados,107,BRB,Barbados,Y,Barbados,409,Non-communicable diseases,2241.654344284,2341.1094549789996,2137.018280449,200736.6336235776,1116.7141262753078,1166.259198791318,1064.5880833372687
