fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T0,S,0.0,83.7150379756362,14.7,2.1
HFO,T0,S,0.01,83.7150379756362,14.7,2.1
HFO,T0,S,0.02,83.7150379756362,14.7,2.1
HFO,T0,S,0.03,52.83994666117271,14.7,2.1
HFO,T0,S,0.04,39.91328613703823,14.7,2.1
HFO,T0,S,0.05,33.09881189102227,14.7,2.1
HFO,T0,S,0.06,28.997292917932718,14.7,2.1
HFO,T0,S,0.07,26.305320493584688,14.7,2.1
HFO,T0,S,0.08,24.427028260576744,14.7,2.1
HFO,T0,S,0.09,23.055378824046127,14.7,2.1
HFO,T0,S,0.1,22.01774778578726,14.7,2.1
HFO,T0,S,0.11,21.210401892991243,14.7,2.1
HFO,T0,S,0.12,20.567641846268803,14.7,2.1
HFO,T0,S,0.13,20.0460458882197,14.7,2.1
HFO,T0,S,0.14,19.615885868256967,14.7,2.1
HFO,T0,S,0.15,19.256195666161116,14.7,2.1
HFO,T0,S,0.16,18.951809280751995,14.7,2.1
HFO,T0,S,0.17,18.69151353679125,14.7,2.1
HFO,T0,S,0.18,18.466857971761243,14.7,2.1
HFO,T0,S,0.19,18.271366167024826,14.7,2.1
HFO,T0,S,0.2,18.100000000000005,14.7,2.1
HFO,T0,S,0.21,18.1,14.7,2.1
HFO,T0,S,0.22,18.1,14.7,2.1
HFO,T0,S,0.23,18.1,14.7,2.1
HFO,T0,S,0.24,18.1,14.7,2.1
HFO,T0,S,0.25,18.1,14.7,2.1
HFO,T0,S,0.26,18.1,14.7,2.1
HFO,T0,S,0.27,18.1,14.7,2.1
HFO,T0,S,0.28,18.1,14.7,2.1
HFO,T0,S,0.29,18.1,14.7,2.1
HFO,T0,S,0.3,18.1,14.7,2.1
HFO,T0,S,0.31,18.1,14.7,2.1
HFO,T0,S,0.32,18.1,14.7,2.1
HFO,T0,S,0.33,18.1,14.7,2.1
HFO,T0,S,0.34,18.1,14.7,2.1
HFO,T0,S,0.35,18.1,14.7,2.1
HFO,T0,S,0.36,18.1,14.7,2.1
HFO,T0,S,0.37,18.1,14.7,2.1
HFO,T0,S,0.38,18.1,14.7,2.1
HFO,T0,S,0.39,18.1,14.7,2.1
HFO,T0,S,0.4,18.1,14.7,2.1
HFO,T0,S,0.41,18.1,14.7,2.1
HFO,T0,S,0.42,18.1,14.7,2.1
HFO,T0,S,0.43,18.1,14.7,2.1
HFO,T0,S,0.44,18.1,14.7,2.1
HFO,T0,S,0.45,18.1,14.7,2.1
HFO,T0,S,0.46,18.1,14.7,2.1
HFO,T0,S,0.47,18.1,14.7,2.1
HFO,T0,S,0.48,18.1,14.7,2.1
HFO,T0,S,0.49,18.1,14.7,2.1
HFO,T0,S,0.5,18.1,14.7,2.1
HFO,T0,S,0.51,18.1,14.7,2.1
HFO,T0,S,0.52,18.1,14.7,2.1
HFO,T0,S,0.53,18.1,14.7,2.1
HFO,T0,S,0.54,18.1,14.7,2.1
HFO,T0,S,0.55,18.1,14.7,2.1
HFO,T0,S,0.56,18.1,14.7,2.1
HFO,T0,S,0.57,18.1,14.7,2.1
HFO,T0,S,0.58,18.1,14.7,2.1
HFO,T0,S,0.59,18.1,14.7,2.1
HFO,T0,S,0.6,18.1,14.7,2.1
HFO,T0,S,0.61,18.1,14.7,2.1
HFO,T0,S,0.62,18.1,14.7,2.1
HFO,T0,S,0.63,18.1,14.7,2.1
HFO,T0,S,0.64,18.1,14.7,2.1
HFO,T0,S,0.65,18.1,14.7,2.1
