ME_type,fuel_type,s_content,Load1,CO2_EF_ME,CO2_EF_AE,CO2_EF_AB,SO2_EF_ME,SO2_EF_AE,SO2_EF_AB,SO4_EF_ME,SO4_EF_AE,SO4_EF_AB,EC_EF_ME,EC_EF_AE,EC_EF_AB,OC_EF_ME,OC_EF_AE,OC_EF_AB,CO_EF_ME,CO_EF_AE,CO_EF_AB,NMVOC_EF_ME,NMVOC_EF_AE,NMVOC_EF_AB,NH3_EF_ME,NH3_EF_AE,NH3_EF_AB
SSD,HFO,2.7,0.0,777.2544,862.578,949.77,13.1712,14.62,16.1,0.448,0.5,0.56,0.1024,0.08,0.08,0.8532480000000001,0.2,0.2,13.57620190089508,1.1,0.2,12.708008436404636,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.01,772.9706959650001,862.578,949.77,13.098609195,14.62,16.1,0.445530925,0.5,0.56,0.10183564,0.08,0.08,0.8485454703000002,0.2,0.2,13.57620190089508,1.1,0.2,12.708008436404636,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.02,768.74224986,862.578,949.77,13.02695478,14.62,16.1,0.4430936999999999,0.5,0.56,0.10127856,0.08,0.08,0.8439036012000001,0.2,0.2,13.57620190089508,1.1,0.2,12.708008436404636,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.03,764.5690616850002,862.578,949.77,12.956236755,14.62,16.1,0.440688325,0.5,0.56,0.10072876,0.08,0.08,0.8393223927000002,0.2,0.2,9.06649749315616,1.1,0.2,7.01059702518061,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.04,760.45113144,862.578,949.77,12.88645512,14.62,16.1,0.4383148,0.5,0.56,0.10018624,0.08,0.08,0.8348018448000002,0.2,0.2,6.811645289286702,1.1,0.2,4.62522745884925,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.05,756.3884591249998,862.578,949.77,12.817609875,14.62,16.1,0.435973125,0.5,0.56,0.099651,0.08,0.08,0.8303419575000001,0.2,0.2,5.458733966965027,1.1,0.2,3.3677457259108285,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.06,752.3810447400001,862.578,949.77,12.74970102,14.62,16.1,0.4336633,0.5,0.56,0.09912304,0.08,0.08,0.8259427308000001,0.2,0.2,4.556793085417243,1.1,0.2,2.6108883368061857,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.07,748.4288882850002,862.578,949.77,12.682728555,14.62,16.1,0.431385325,0.5,0.56,0.09860236,0.08,0.08,0.8216041647000001,0.2,0.2,3.912549598597397,1.1,0.2,2.114135978959844,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.08,744.5319897600001,862.578,949.77,12.61669248,14.62,16.1,0.4291392,0.5,0.56,0.09808896,0.08,0.08,0.8173262592000001,0.2,0.2,3.4293669834825136,1.1,0.2,1.7675328388117262,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.09,740.690349165,862.578,949.77,12.551592795,14.62,16.1,0.426924925,0.5,0.56,0.09758284,0.08,0.08,0.8131090143,0.2,0.2,3.053558282837603,1.1,0.2,1.5144209994881068,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.1,736.9039665000001,862.578,949.77,12.4874295,14.62,16.1,0.4247425,0.5,0.56,0.09708400000000003,0.08,0.08,0.8089524300000002,0.2,0.2,2.7529113223216752,1.1,0.2,1.322945908522242,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.11,733.1728417650003,862.578,949.77,12.424202595,14.62,16.1,0.422591925,0.5,0.56,0.09659244000000003,0.08,0.08,0.8048565063000002,0.2,0.2,2.5069274455359167,1.1,0.2,1.1739655652554957,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.12,729.49697496,862.578,949.77,12.361912079999998,14.62,16.1,0.4204732,0.5,0.56,0.09610816,0.08,0.08,0.8008212431999999,0.2,0.2,2.301940881547784,1.1,0.2,1.055356412408723,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.13,725.8763660850002,862.578,949.77,12.300557955,14.62,16.1,0.418386325,0.5,0.56,0.09563116,0.08,0.08,0.7968466407000002,0.2,0.2,2.128490712019364,1.1,0.2,0.959105789757279,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.14,722.3110151400001,862.578,949.77,12.24014022,14.62,16.1,0.4163313,0.5,0.56,0.09516144,0.08,0.08,0.7929326988000002,0.2,0.2,1.9798191381378607,1.1,0.2,0.8797279320069453,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.15,718.800922125,862.578,949.77,12.180658875,14.62,16.1,0.414308125,0.5,0.56,0.094699,0.08,0.08,0.3795861309393084,0.2,0.2,1.8509704407738918,1.1,0.2,0.8133539400710449,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.16,715.34608704,862.578,949.77,12.12211392,14.62,16.1,0.4123168,0.5,0.56,0.09424384,0.08,0.08,0.3264517143193366,0.2,0.2,1.738227830580419,1.1,0.2,0.7571852166173026,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.17,711.946509885,862.578,949.77,12.064505354999998,14.62,16.1,0.410357325,0.5,0.56,0.09379596,0.08,0.08,0.295877091113972,0.2,0.2,1.6387490568802958,1.1,0.2,0.7091525832290961,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.18,708.6021906600001,862.578,949.77,12.00783318,14.62,16.1,0.4084297,0.5,0.56,0.09335536,0.08,0.08,0.2766403985553008,0.2,0.2,1.5503234802579642,1.1,0.2,0.6676966676251372,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.19,705.313129365,862.578,949.77,11.952097395,14.62,16.1,0.406533925,0.5,0.56,0.09292204,0.08,0.08,0.26381021018793216,0.2,0.2,1.4712058590695618,1.1,0.2,0.6316223698113433,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.2,702.0793259999999,862.578,949.77,11.897298,14.62,16.1,0.40467,0.5,0.56,0.092496,0.08,0.08,0.25488219567360004,0.2,0.2,1.4,1.1,0.2,0.6000000000000001,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.21,698.9007805650001,862.578,949.77,11.843434995,14.62,16.1,0.402837925,0.5,0.56,0.09207724,0.08,0.08,0.2484543585215085,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.22,695.7774930600001,862.578,949.77,11.79050838,14.62,16.1,0.4010377,0.5,0.56,0.09166576,0.08,0.08,0.2436860491948338,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.23,692.709463485,862.578,949.77,11.738518155,14.62,16.1,0.399269325,0.5,0.56,0.09126156,0.08,0.08,0.24004768024539644,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.24,689.69669184,862.578,949.77,11.687464319999998,14.62,16.1,0.3975328,0.5,0.56,0.09086464,0.08,0.08,0.237193430046145,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.25,686.739178125,862.578,949.77,11.637346875,14.62,16.1,0.395828125,0.5,0.56,0.090475,0.08,0.08,0.2348914855430649,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.26,683.83692234,862.578,949.77,11.58816582,14.62,16.1,0.3941553,0.5,0.56,0.09009264,0.08,0.08,0.2329834591334043,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.27,680.989924485,862.578,949.77,11.539921154999998,14.62,16.1,0.392514325,0.5,0.56,0.08971755999999999,0.08,0.08,0.23135961337273156,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.28,678.1981845600002,862.578,949.77,11.49261288,14.62,16.1,0.3909052,0.5,0.56,0.08934976000000001,0.08,0.08,0.22994314214301134,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.29,675.4617025650001,862.578,949.77,11.446240995,14.62,16.1,0.389327925,0.5,0.56,0.08898924000000001,0.08,0.08,0.22867988968938394,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.3,672.7804785,862.578,949.77,11.4008055,14.62,16.1,0.3877825,0.5,0.56,0.088636,0.08,0.08,0.2275314652009871,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.31,670.1545123650002,862.578,949.77,11.356306395,14.62,16.1,0.386268925,0.5,0.56,0.08829004000000001,0.08,0.08,0.2264705469419841,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.32,667.58380416,862.578,949.77,11.31274368,14.62,16.1,0.3847872,0.5,0.56,0.08795135999999999,0.08,0.08,0.2254776352888875,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
