Station ID,Latitude,Longitude,PM25
MACG,22.16,113.5651,26.6478
CB_R,22.2819,114.1822,37.0192
CL_R,22.2833,114.1557,23.8964
CW_A,22.2868,114.1429,26.396
EN_A,22.2845,114.2169,23.1832
KINMEN,24.4321,118.3123,27.5345
KC_A,22.3586,114.1271,24.9762
KT_A,22.3147,114.2233,27.1826
CN_1361A,22.7267,114.24,33.2664
MAGONG,23.569,119.5662,18.2083
MATSU,26.1605,119.9499,24.457
MKaR,22.324,114.166,29.833
ST_A,22.378,114.182,23.4504
SP_A,22.3315,114.1567,25.2677
TP_A,22.4524,114.162,23.4038
MB_A,22.4728,114.3583,23.6671
TW_A,22.3733,114.1121,23.6219
TM_A,22.3908,113.9767,29.6718
TC_A,22.2903,113.9411,22.1624
CN_1360A,22.5908,114.263,23.0042
YL_A,22.4467,114.0203,29.8552
XCNAQ021,22.7108,113.5486,35.7233
XCNAQ473,18.2489,109.5078,17.6795
XCNAQ474,18.2681,109.4964,16.7858
XCNAQ729,26.2378,117.6028,28.9771
XCNAQ728,26.2708,117.6353,30.9631
XCNAQ727,26.2625,117.6211,29.349
XCNAQ730,26.3108,117.7275,26.9794
XCNAQ208,34.7772,111.1928,69.8384
XCNAQ211,34.7939,111.158,74.9157
XCNAQ209,34.7997,111.1489,68.0117
XCNAQ783,28.4622,117.9511,42.7209
XCNAQ782,28.4459,117.973,44.7867
XCNAQ784,28.4303,117.9033,42.9825
XCNAQ781,28.4569,118.0058,38.4541
CN_1387A,23.0536,113.7819,39.4286
CN_1390A,23.0127,113.7944,33.6249
CN_1388A,23.0277,113.7461,37.2681
CN_1391A,22.9658,113.7383,34.5228
CN_1389A,23.06,113.748,37.6369
XCNAQ395,37.4313,118.6672,72.0586
XCNAQ396,37.4442,118.5857,82.8104
XCNAQ397,37.4658,118.5019,83.6252
XCNAQ1067,37.0172,105.18,51.0156
XCNAQ1066,37.4514,105.0197,39.8262
XCNAQ1068,37.5002,105.1971,46.6097
CN_1379A,22.5211,113.3769,32.0226
CN_1380A,22.5497,113.3881,34.4189
CN_1382A,22.5111,113.4075,28.1766
CN_1381A,22.4853,113.4411,34.4777
XCNAQ1054,35.5997,103.2064,49.1258
XCNAQ1053,35.6039,103.2139,47.9186
XCNAQ507,30.2311,119.6942,47.424
XCNAQ508,30.2366,119.7183,51.2483
XCNAQ068,36.0783,111.5531,86.8224
XCNAQ069,36.0822,111.5169,50.217
XCNAQ066,36.0875,111.5025,47.9293
XCNAQ065,36.0713,111.5028,51.5622
XCNAQ398,34.9816,118.2764,81.2046
XCNAQ399,35.0573,118.3418,72.0381
XCNAQ400,35.0896,118.4023,76.2878
XCNAQ401,35.0622,118.2939,77.8793
XCNAQ990,23.8982,100.0782,21.977
XCNAQ989,23.8822,100.0869,36.6544
CN_1269A,28.4231,119.879,38.4081
CN_1267A,28.4514,119.914,34.5078
CN_1268A,28.4586,119.93,42.1876
XCNAQ987,26.8802,100.2497,17.5374
XCNAQ988,26.8906,100.2203,14.1222
XCNAQ986,26.8576,100.2143,16.6614
XCNAQ603,40.9923,113.1306,42.1179
XCNAQ604,41.0172,113.084,48.3786
XCNAQ594,39.6667,106.7907,53.1598
XCNAQ593,39.6969,106.8089,51.3182
XCNAQ592,39.6719,106.8219,60.1834
CN_1495A,43.8729,87.4171,68.3824
CN_1494A,43.831,87.6431,54.7138
CN_1491A,43.768,87.6046,50.7358
CN_1492A,43.9469,87.4753,92.1468
CN_1490A,43.8303,87.5801,72.6231
CN_1496A,43.962,87.6444,65.4033
CN_1493A,43.8711,87.5525,67.5242
XCNAQ923,29.5441,103.7714,50.8339
XCNAQ926,29.5634,103.757,58.835
