Station_Code,lat,lon,PM25
AT0002R,47.767,16.767,14.7
CH0002R,46.813,6.945,9.75
CH0005R,47.068,8.464,5.77
CY0002R,35.039,33.058,9.88
CZ0003R,49.583,15.083,14.52
DE0002R,52.802,10.759,12.05
DE0003R,47.915,7.909,7.98
DE0007R,53.167,13.033,10.27
DE0008R,50.650,10.767,8.11
DE0044R,51.530,12.934,14.73
EE0009R,59.500,25.900,5.21
EE0011R,58.383,21.817,4.2
ES0001R,39.548,-4.349,6.62
ES0006R,39.867,4.317,7.03
ES0007R,37.233,-3.533,10.35
ES0008R,43.442,-4.850,7.05
ES0009R,41.281,-3.143,4.82
ES0010R,42.319,3.317,8.49
ES0011R,38.476,-6.923,8.46
ES0012R,39.086,-1.102,5.96
ES0013R,41.283,-5.867,5.79
ES0014R,41.400,0.717,8.34
ES0016R,43.231,-7.700,8.31
FI0009R,59.779,21.377,4.97
FI0018R,60.530,27.668,5.29
FI0036R,68.000,24.237,3.43
FR0009R,49.900,4.633,14.91
FR0010R,47.267,4.083,9.68
FR0013R,43.617,0.183,8.72
FR0015R,46.650,-0.750,10.55
FR0018R,48.633,-0.450,8.19
FR0023R,44.569,5.279,6.18
FR0024R,47.832,-1.836,9.03
FR0025R,46.815,2.610,11.65
GB0036R,51.573,-1.317,2.49
GB0048R,55.792,-3.243,0.42
HU0002R,46.967,19.583,17.35
IT0004R,45.800,8.633,17.5
LV0010R,56.162,21.173,10.47
NL0009R,53.334,6.277,10.83
NL0010R,51.541,5.854,12.28
NL0091R,52.300,4.500,9.51
NL0644R,51.974,4.924,11.31
NO0002R,58.389,8.252,2.7
NO0039R,62.783,8.883,1.51
NO0056R,60.373,11.078,2.75
PL0005R,54.150,22.067,12.49
SE0005R,63.850,15.333,2.26
SE0011R,56.017,13.150,5.38
SE0012R,58.800,17.383,5.69
SE0014R,57.394,11.914,5.02
SI0008R,45.567,14.867,10.02
